pressure,temperature,Depth
1007.341079270753,23.230597666502,-0.057631446016016864
1007.3417639483185,23.237202452421187,-0.057631446016016864
1007.3491211342312,23.23729771375656,-0.057631446016016864
1007.3015397086367,23.239266448020935,-0.057631446016016864
1007.3463474553683,23.240346076488496,-0.057631446016016864
1007.3354670072364,23.2370436835289,-0.057631446016016864
1007.3056363496213,23.235328979492188,-0.057631446016016864
1007.3379175253434,23.23650386929512,-0.057631446016016864
1007.334616455228,23.240441337823867,-0.057631446016016864
1007.3425649100624,23.2389171564579,-0.057631446016016864
1007.3200224605075,23.23650386929512,-0.057631446016016864
1007.3230722812784,23.236821407079695,-0.057631446016016864
1007.3052368390362,23.23475741147995,-0.057631446016016864
1007.3400905160058,23.23221710920334,-0.057631446016016864
1007.3064937544899,23.234027074575422,-0.057631446016016864
1007.3073386821983,23.228914716243743,-0.057631446016016864
1007.2927653846284,23.231264495849608,-0.057631446016016864
1007.3105231070623,23.22986732959747,-0.057631446016016864
1007.3133699853626,23.2289464700222,-0.057631446016016864
1007.3221880772093,23.229930837154388,-0.057631446016016864
1007.3136405298131,23.230597666502,-0.057631446016016864
1007.3136380236444,23.229835575819017,-0.057631446016016864
1007.2992483237484,23.227517549991607,-0.057631446016016864
1007.3070637250529,23.225929861068725,-0.057631446016016864
1007.2841285391402,23.224850232601167,-0.057631446016016864
1007.3124437828286,23.229454530477526,-0.057631446016016864
1007.3221849197784,23.22897822380066,-0.057631446016016864
1007.3108354559355,23.22411989569664,-0.057631446016016864
1007.3222462329845,23.22748579621315,-0.057631446016016864
