signal
14528
29296
16688
15216
26112
19776
9376
18240
25936
11280
17312
25264
5952
22416
23600
5392
22992
28704
6352
27904
21232
7056
25104
23968
8784
29760
21664
14880
26672
10432
21408
24480
8528
29600
19488
17264
24800
7200
23168
23216
9504
27792
27344
9280
32752
20720
9968
9712
27968
25264
7456
22336
26912
11488
17424
29040
24432
5296
17424
29568
30000
20672
24608
17056
18672
20032
8448
18336
18272
26336
20000
15520
18912
17632
15872
12544
13584
14416
15232
20496
11088
8096
8528
5120
15440
27296
23392
32752
17168
16272
24512
23520
12656
19568
29952
2432
25136
24432
7056
29008
19792
14240
26064
7104
20960
25296
6736
31472
18176
15232
26944
2416
25744
22640
10592
31904
13136
18960
23840
48
31760
21312
15760
32080
10384
22192
25760
6352
31440
21392
16224
28672
8048
23648
25504
9024
32320
13904
19760
25232
4016
29664
21936
15056
30848
0
23472
24256
5344
30688
19616
15792
27872
6192
23872
24320
8304
32384
22688
16592
26304
3312
29968
21424
14656
30528
8480
21168
24704
3824
28480
21568
15008
29008
8720
21776
24224
6768
31856
19312
17968
26192
4352
23424
24240
10864
32240
11952
19552
24816
4848
29840
21024
16528
27648
4976
30256
22208
12240
31232
10352
20864
24288
4576
31232
20192
15920
26848
4288
31648
21712
12496
30448
9168
20688
24576
7216
31840
17728
18000
26512
2832
25392
24304
14112
31088
8608
20480
24560
5952
32480
18080
17104
26720
3712
29072
22544
14176
28624
6736
23952
24672
9584
32400
12304
19888
25104
5520
31024
21616
15456
28208
2880
27184
24096
11376
32224
7568
22512
25104
8480
32752
15072
17616
28352
0
31792
23632
8800
32752
8992
20544
27152
4928
32752
17568
17792
27536
0
32752
21744
12992
32208
3056
26320
23504
3680
32752
14400
20688
24544
0
32752
21632
14640
30688
2016
26912
24416
7712
32752
10608
21008
25472
368
32752
21440
12160
32752
10736
15952
30720
2320
26624
24432
3408
32752
15024
18528
26896
0
32656
22256
13056
14672
7696
23312
24736
4320
32752
16912
17664
27360
0
31328
22256
14192
32752
2928
26208
24400
9616
32752
11392
20336
25248
3296
31360
21360
14496
28256
7984
22880
24576
8944
32624
13872
19456
24784
5328
30768
20736
16416
28112
5888
24272
23824
10640
32256
14544
18288
25504
4384
28608
22416
6896
31728
10752
20128
24544
5632
30352
21184
16048
27792
7648
23088
24272
10832
31376
19264
16576
26896
5632
22912
24400
7696
31744
17936
17504
28576
4240
28016
23248
12960
30432
10272
21248
24432
6656
30848
20992
15856
22720
6768
25360
23808
11936
31072
10464
21168
24384
7664
31648
18432
16816
29488
3792
26096
24112
11328
32000
14576
19056
24864
5056
30224
20896
15616
27072
6720
24464
24336
9856
32192
13936
19632
24736
5936
30784
19632
20880
28096
9008
22048
24688
8976
31904
19952
16320
26640
4160
